Id,Score
1224650,5
1019381,5
504719,5
1622425,5
482286,5
1074829,4
1599357,4
1087427,5
203315,2
235783,5
418427,5
606664,3
696810,5
223492,5
980977,5
722783,5
338418,4
1446246,5
1346589,5
236375,5
986998,5
112636,5
709913,4
1584482,5
193582,5
1135952,5
389670,5
730761,5
477585,5
749958,5
931033,5
1139449,5
601607,4
694863,5
1301228,2
331166,1
1338905,5
840140,4
1682050,3
1445676,5
1415929,5
693164,5
1069701,5
160226,3
1369602,5
1521625,5
98468,5
437956,4
1001491,5
1001918,4
1442224,5
322903,5
529559,5
738622,5
1425126,5
1511284,5
1668562,5
1274969,5
630200,5
1309573,5
1230948,5
1547998,5
1097328,3
1175137,1
116385,1
952092,5
170056,5
28814,5
1593702,5
1596258,4
1443968,5
563324,5
647903,5
6944,5
531596,5
927186,5
468630,5
1129922,5
1477741,5
871815,5
300910,5
444195,3
397205,5
1477378,5
376312,4
1512714,5
1443157,4
1636194,5
23721,5
714335,5
1064055,3
672585,5
1632463,5
1356967,5
859910,3
1183027,5
1594591,5
102215,5
1386623,1
134189,5
1614098,5
1178859,3
863855,5
1286215,4
1117510,5
1584834,2
1651612,5
1557634,4
788577,5
694394,2
754643,5
1666598,5
722087,5
479697,5
734811,2
486800,5
384436,5
1486440,5
745493,5
788495,5
1127921,5
1512483,5
188986,2
1055361,5
1237611,5
72699,5
1204544,5
326864,5
92559,5
265983,4
936730,5
1341646,5
351945,3
1269031,5
407478,3
672861,4
802742,5
243204,5
1561704,2
561539,5
238019,5
548844,5
358347,3
842015,5
149826,5
763788,5
1028808,4
2385,5
1483446,5
1004839,4
1568918,5
765235,5
672321,5
1064452,5
1671286,5
1096093,1
720102,2
494732,5
1429619,5
936225,5
412520,5
1003436,5
1266962,4
806230,5
807814,5
382694,5
1060581,4
37906,1
1080972,5
1357933,5
342091,5
1691293,1
149929,5
712267,4
1029370,5
568862,4
1273886,5
1503858,5
688820,5
1322221,5
291951,4
1586532,5
4194,5
1003607,5
1534933,5
1108132,5
1374096,5
1347455,5
727483,5
274961,4
386188,5
1313332,1
971628,5
1580295,4
1291393,5
846471,5
775047,5
960763,4
184139,5
1297439,5
1537294,5
303014,5
875295,5
1316945,5
1231626,5
859802,2
1009532,5
982780,5
935991,3
931863,4
636068,1
849396,5
1414667,3
1247639,5
242643,5
33126,4
1004472,5
613575,4
187322,4
279506,4
1300087,5
39568,5
811939,5
735920,5
824693,5
201220,5
1177655,5
301709,4
59959,5
335751,4
1386072,5
999247,4
1410840,3
204626,5
560024,5
88286,5
1029122,5
511929,5
597980,5
538591,5
1436316,5
1694868,5
1454736,5
1020124,5
952052,5
893195,2
568727,5
100852,4
433297,3
1440132,3
327352,5
904137,5
420575,5
913974,5
890661,4
817209,5
572919,5
207288,3
1444717,5
1520189,3
270805,5
1178154,5
54750,5
1191652,5
567591,5
1031225,3
857238,3
766999,5
159205,3
178278,4
985744,5
1007619,3
1291343,4
1440754,5
1432284,5
713219,5
905725,5
1674828,5
346850,5
1412387,5
1142603,5
1348895,5
1218521,5
633145,5
1536616,2
1296691,5
973622,4
738298,5
802771,5
561108,5
983741,5
124069,5
255844,5
86039,1
556213,5
1293660,5
1550955,5
248443,5
576267,4
1037624,5
101060,5
922288,5
1127160,5
919672,5
616650,2
147164,5
372811,5
949330,5
1183900,2
284952,5
1573443,4
1176155,5
717961,5
1286117,5
1071297,5
1465106,4
1428206,4
1672849,5
324458,5
800469,3
1306980,5
981023,5
1223728,5
1286467,5
455421,5
443075,5
844412,4
771139,1
730003,5
1544121,4
181464,1
437205,5
1396676,5
346398,5
90851,2
734199,3
419821,5
1543669,4
1288040,5
1510564,5
448002,5
1518354,5
1175377,5
982784,5
59445,5
188757,5
1141553,5
1471041,3
1685060,5
948449,1
712672,4
1320161,5
761193,4
363364,2
810555,5
354705,5
124193,5
1009698,5
943864,1
1262042,5
1471215,3
841495,5
320130,5
429555,5
1148221,5
234961,5
797528,3
717869,5
1517830,5
298324,5
1339768,5
209806,5
471681,4
1050473,3
1220875,5
1012506,5
682577,5
720821,3
349412,3
1005919,4
1645510,5
205879,5
654404,4
1226316,4
872588,5
100023,5
1559745,5
408200,5
254046,5
1503641,3
1474849,5
1604215,1
732878,5
381925,5
212464,5
532505,5
1185385,5
886068,5
792059,5
1101142,4
1368042,5
559385,5
62995,5
1147697,5
1077573,5
1093804,5
822523,5
242632,5
805665,5
497715,5
627393,5
711428,5
1559901,3
531703,5
285216,5
744688,5
161149,5
565556,5
637294,5
1027571,5
1311529,5
921326,5
738411,5
372690,5
513172,5
1461385,5
1354341,5
1328359,4
3920,5
964658,5
1164723,5
540960,5
1015450,5
105483,5
399824,4
1023627,1
96563,5
536551,4
1321508,5
354908,1
1138375,5
266891,5
941902,5
264350,5
157451,5
317752,4
669313,5
1067519,5
152290,5
5971,5
734468,5
592268,5
1087418,5
813159,5
982416,5
226116,5
1490051,3
715775,5
760069,5
1611033,5
296465,5
1001113,1
1226447,5
763116,5
1281874,5
710449,5
655670,4
1279441,5
138971,5
1204844,5
216367,5
1322495,5
1562683,5
1215585,5
1180715,3
1133340,5
379997,5
1539285,5
893054,5
1614606,4
120209,5
423698,3
247296,5
1484863,4
945367,5
258433,5
461381,5
350528,5
1210620,5
497884,5
221815,5
1518430,3
183506,5
1296030,5
607946,3
1046413,5
853096,4
1043738,4
1522563,5
546029,5
710264,1
1265676,1
1452935,5
556793,5
147314,5
660387,5
355287,5
415864,3
211593,5
1284704,5
1548098,5
1254602,5
532462,5
940585,5
18146,5
533116,5
1689119,5
607919,5
1340969,5
517289,4
493042,5
122609,5
21836,4
1678823,3
770806,5
205382,5
229956,5
688523,4
191327,5
1451242,5
1169335,5
346155,5
1220563,5
1167378,5
223019,5
221213,5
1296203,5
284785,5
1275081,2
240410,5
110347,5
1164165,4
1261797,4
1149351,5
643253,5
123661,5
898557,5
1123032,5
434563,4
142551,5
104231,5
510232,5
300718,5
1268699,5
445284,5
234062,5
1441578,5
312967,5
1267520,5
1463693,3
1677847,3
143782,5
939099,5
776793,5
1412996,5
263261,5
85384,1
132492,5
265701,4
1525772,5
1271296,4
531323,4
1486801,5
779508,4
156100,5
945559,5
208125,5
675342,5
922823,5
1522070,5
423760,5
1311695,4
558185,5
111732,3
901314,2
1339566,4
1241977,5
71391,5
170312,1
1000354,5
961032,5
635643,5
1548753,5
208482,3
634507,5
583242,5
1676668,5
1626819,4
473258,4
1191080,4
1693117,3
1469208,3
989207,5
1193492,5
1646309,5
158626,5
1493965,5
1313738,5
100873,5
