Id,Score
1224650,5.0
1019381,3.0
504719,5.0
1622425,5.0
482286,5.0
1074829,5.0
1599357,4.0
1087427,5.0
203315,1.0
235783,4.0
418427,5.0
606664,5.0
696810,4.0
223492,4.0
980977,3.0
722783,5.0
338418,5.0
1446246,5.0
1346589,2.0
236375,4.0
986998,5.0
112636,5.0
709913,5.0
1584482,5.0
193582,5.0
1135952,3.0
389670,1.0
730761,5.0
477585,5.0
749958,4.0
931033,4.0
1139449,5.0
601607,4.0
694863,5.0
1301228,2.0
331166,3.0
1338905,5.0
840140,4.0
1682050,3.0
1445676,5.0
1415929,3.0
693164,4.0
1069701,5.0
160226,3.0
1369602,5.0
1521625,5.0
98468,5.0
437956,3.0
1001491,3.0
1001918,5.0
1442224,5.0
322903,4.0
529559,5.0
738622,5.0
1425126,5.0
1511284,1.0
1668562,5.0
1274969,5.0
630200,5.0
1309573,5.0
1230948,5.0
1547998,5.0
1097328,5.0
1175137,1.0
116385,1.0
952092,5.0
170056,5.0
28814,1.0
1593702,5.0
1596258,5.0
1443968,3.0
563324,1.0
647903,5.0
6944,3.0
531596,5.0
927186,5.0
468630,5.0
1129922,5.0
1477741,5.0
871815,5.0
300910,5.0
444195,3.0
397205,5.0
1477378,4.0
376312,1.0
1512714,2.0
1443157,4.0
1636194,4.0
23721,5.0
714335,4.0
1064055,5.0
672585,4.0
1632463,5.0
1356967,5.0
859910,4.0
1183027,5.0
1594591,2.0
102215,5.0
1386623,2.0
134189,5.0
1614098,4.0
1178859,3.0
863855,5.0
1286215,4.0
1117510,4.0
1584834,5.0
1651612,5.0
1557634,3.0
788577,4.0
694394,3.0
754643,5.0
1666598,5.0
722087,5.0
479697,5.0
734811,3.0
486800,1.0
384436,5.0
1486440,5.0
745493,1.0
788495,5.0
1127921,5.0
1512483,5.0
188986,2.0
1055361,4.0
1237611,5.0
72699,5.0
1204544,5.0
326864,5.0
92559,5.0
265983,2.0
936730,3.0
1341646,4.0
351945,2.0
1269031,5.0
407478,3.0
672861,3.0
802742,5.0
243204,1.0
1561704,4.0
561539,4.0
238019,5.0
548844,4.0
358347,5.0
842015,5.0
149826,5.0
763788,3.0
1028808,3.0
2385,5.0
1483446,5.0
1004839,5.0
1568918,5.0
765235,5.0
672321,5.0
1064452,5.0
1671286,5.0
1096093,1.0
720102,2.0
494732,5.0
1429619,5.0
936225,5.0
412520,5.0
1003436,5.0
1266962,3.0
806230,5.0
807814,4.0
382694,4.0
1060581,4.0
37906,3.0
1080972,5.0
1357933,5.0
342091,4.0
1691293,1.0
149929,5.0
712267,5.0
1029370,5.0
568862,4.0
1273886,4.0
1503858,5.0
688820,5.0
1322221,5.0
291951,4.0
1586532,5.0
4194,5.0
1003607,5.0
1534933,1.0
1108132,5.0
1374096,4.0
1347455,5.0
727483,4.0
274961,4.0
386188,5.0
1313332,1.0
971628,5.0
1580295,3.0
1291393,5.0
846471,5.0
775047,5.0
960763,3.0
184139,4.0
1297439,2.0
1537294,5.0
303014,5.0
875295,5.0
1316945,4.0
1231626,4.0
859802,5.0
1009532,5.0
982780,5.0
935991,2.0
931863,5.0
636068,2.0
849396,3.0
1414667,3.0
1247639,5.0
242643,5.0
33126,3.0
1004472,5.0
613575,3.0
187322,5.0
279506,5.0
1300087,5.0
39568,5.0
811939,5.0
735920,5.0
824693,5.0
201220,5.0
1177655,5.0
301709,4.0
59959,5.0
335751,4.0
1386072,3.0
999247,3.0
1410840,5.0
204626,5.0
560024,3.0
88286,5.0
1029122,5.0
511929,5.0
597980,5.0
538591,5.0
1436316,5.0
1694868,4.0
1454736,5.0
1020124,5.0
952052,5.0
893195,3.0
568727,5.0
100852,4.0
433297,3.0
1440132,3.0
327352,5.0
904137,5.0
420575,5.0
913974,5.0
890661,4.0
817209,5.0
572919,5.0
207288,3.0
1444717,5.0
1520189,4.0
270805,5.0
1178154,5.0
54750,5.0
1191652,4.0
567591,1.0
1031225,5.0
857238,3.0
766999,5.0
159205,5.0
178278,3.0
985744,1.0
1007619,2.0
1291343,4.0
1440754,5.0
1432284,5.0
713219,5.0
905725,5.0
1674828,5.0
346850,5.0
1412387,5.0
1142603,4.0
1348895,5.0
1218521,5.0
633145,5.0
1536616,5.0
